ColdSnap: 寒流——短时间内大幅降温，影响作物和户外活动
HeatWave: 热浪——短时间内大幅升温，可能导致中暑
PsychicDrone: 心灵噪音——特定性别的所有殖民者心情大幅下降
PsychicSoothe: 心灵抚慰波——特定性别的所有殖民者心情大幅提升
BloodRain: 血雨——异常血雨天气，对户外生物产生负面影响
ChimeraAssault: 奇美拉袭击——混合基因的异常生物袭击
DeathPall: 死亡阴霾——大范围死亡气息笼罩，杀死植物并影响生物
DevourerAssault: 吞噬者袭击——吞噬生物的陆地袭击
DevourerWaterAssault: 吞噬者水域袭击——吞噬生物从水域发动袭击
FleshbeastAttack: 血肉兽袭击——异常血肉生物攻击
FleshmassHeart: 血肉之心——异常血肉团块核心，需摧毁
GorehulkAssault: 血块巨兽袭击——大型异常血肉生物袭击
HateChanters: 仇恨咏唱者——异常实体通过咏唱影响殖民地心情
Nociosphere: 夜伤球——异常球体实体，对周围产生负面影响
PitGate: 深渊之门——地面开启的异常传送门，持续产生威胁
PsychicRitualSiege: 心灵仪式围攻——异常实体发起心灵仪式围攻
Revenant: 亡魂——异常亡灵实体，可附身并隐藏身份
ShamblerAssault: 蹒跚者袭击——异常僵尸类生物袭击
ShamblerSwarm: 蹒跚者群袭——大规模异常蹒跚者袭击
ShamblerSwarmAnimals: 动物蹒跚者群——异常蹒跚化的动物群袭击
SightstealerArrival: 窃视者降临——窃取视力的异常实体降临
SightstealerSwarm: 窃视者群袭——大规模异常窃视者袭击
UnnaturalDarkness: 非自然黑暗——异常黑暗笼罩殖民地，影响视野和心情
WarpedObelisk_Abductor: 扭曲石碑（诱拐型）——扭曲石碑会诱拐殖民者
WarpedObelisk_Duplicator: 扭曲石碑（复制型）——扭曲石碑会复制殖民者
WarpedObelisk_Mutator: 扭曲石碑（变异型）——扭曲石碑会使殖民者变异
